id,characteristics,color,count,country_of_origin,description,discount,guarantee,images,model,price,title,component_type_id
,"---Основные---<br>Производитель - Gigabyte<br>Код производителя - GV-N3060GAMING OC-12GD V2.0 LHR<br>Интерфейс - PCI Express 4.0<br>Производитель видеопроцессора - NVIDIA<br>Серия - GeForce RTX 3060<br>---Количество занимаемых слотов  ---<br>Количество занимаемых слотов - 2<br>Низкопрофильная карта (Low Profile) - нет<br>Система охлаждения - активная<br>Разъёмы - 2 x HDMI, 2 x DisplayPort<br>---Архитектура графического процессора  ---<br>Архитектура графического процессора - nVidia Ampere<br>Кодовое название графического процессора - GA106<br>Техпроцесс - 8 нм<br>Частота графического процессора - 1320 МГц<br>Частота графического процессора (Boost) - 1837 МГц<br>Число универсальных процессоров - 3584<br>LHR - да<br>OC версия - да<br>Поддержка SLI/CrossFire - нет<br>Поддержка DirectX - DirectX 12 Ultimate<br>Поддержка OpenGL - OpenGL 4.6<br>---Объём памяти  ---<br>Объём памяти - 12 Гб<br>Тип памяти - GDDR6<br>Шина памяти (разрядность) - 192 бит<br>Частота видеопамяти - 15000 МГц<br>---Количество поддерживаемых мониторов  ---<br>Количество поддерживаемых мониторов - 4<br>Максимальное разрешение - 7680x4320<br>Необходимость дополнительного питания - да<br>Разъём дополнительного питания - 8 pin<br>Рекомендуемая мощность блока питания - 550 Вт<br>Подсветка - да<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - серебристый, чёрный<br>Размеры (ШхВхГ) - 282 x 117 x 41 мм<br>Вес - 0.77 кг<br>Гарантия - 36 мес.<br>Сайт производителя - www.gigabyte.ru<br><br><br>","серебристый, чёрный",91,Gigabyte,,0,36,Видеокарта_1-0.png<br>Видеокарта_1-1.png<br>Видеокарта_1-2.png<br>Видеокарта_1-3.png<br>Видеокарта_1-4.png<br>Видеокарта_1-5.png<br>Видеокарта_1-6.png<br>Видеокарта_1-7.png<br>,,35140,Видеокарта NVIDIA GeForce RTX 3060 Gigabyte 12Gb LHR (GV-N3060GAMING OC-12GD 2.0),5
,"---Основные---<br>Производитель - MSI<br>Код производителя - RTX 3060 VENTUS 2X 12G OC<br>Интерфейс - PCI Express 4.0<br>Производитель видеопроцессора - NVIDIA<br>Серия - GeForce RTX 3060<br>---Количество занимаемых слотов  ---<br>Количество занимаемых слотов - 2<br>Низкопрофильная карта (Low Profile) - нет<br>Система охлаждения - активная<br>Разъёмы - HDMI, 3 x DisplayPort<br>---Архитектура графического процессора  ---<br>Архитектура графического процессора - nVidia Ampere<br>Кодовое название графического процессора - GA106<br>Техпроцесс - 8 нм<br>Частота графического процессора - 1320 МГц<br>Частота графического процессора (Boost) - 1807 МГц<br>Число универсальных процессоров - 3584<br>OC версия - да<br>Поддержка SLI/CrossFire - нет<br>Поддержка DirectX - DirectX 12 Ultimate<br>Поддержка OpenGL - OpenGL 4.6<br>---Объём памяти  ---<br>Объём памяти - 12 Гб<br>Тип памяти - GDDR6<br>Шина памяти (разрядность) - 192 бит<br>Частота видеопамяти - 15000 МГц<br>---Количество поддерживаемых мониторов  ---<br>Количество поддерживаемых мониторов - 4<br>Максимальное разрешение - 7680x4320<br>Необходимость дополнительного питания - да<br>Разъём дополнительного питания - 8 pin<br>Рекомендуемая мощность блока питания - 550 Вт<br>TDP - 170 Вт<br>Тип поставки - Retail<br>Размеры (ШхВхГ) - 235 x 124 x 42 мм<br>Вес - 0.7 кг<br>Гарантия - 36 мес.<br>Сайт производителя - www.msi.com<br><br><br>",,68,MSI,,15,36,Видеокарта_2-0.png<br>Видеокарта_2-1.png<br>Видеокарта_2-2.png<br>Видеокарта_2-3.png<br>Видеокарта_2-4.png<br>,,35860,Видеокарта NVIDIA GeForce RTX 3060 MSI 12Gb (RTX 3060 VENTUS 2X 12G OC),5
,"---Основные---<br>Производитель - Gigabyte<br>Код производителя - GV-N4070GAMING OC-12GD<br>Интерфейс - PCI Express 4.0<br>Производитель видеопроцессора - NVIDIA<br>Серия - GeForce RTX 4070<br>---Количество занимаемых слотов  ---<br>Количество занимаемых слотов - 3<br>Низкопрофильная карта (Low Profile) - нет<br>Система охлаждения - активная<br>Количество вентиляторов - 3<br>Разъёмы - HDMI, 3 x DisplayPort<br>---Архитектура графического процессора  ---<br>Архитектура графического процессора - nVidia Ada Lovelace<br>Кодовое название графического процессора - AD104<br>Техпроцесс - 5 нм<br>Частота графического процессора - 1920 МГц<br>Частота графического процессора (Boost) - 2565 МГц<br>Число универсальных процессоров - 5888<br>OC версия - да<br>Поддержка SLI/CrossFire - нет<br>Поддержка DirectX - DirectX 12 Ultimate<br>Поддержка OpenGL - OpenGL 4.6<br>---Объём памяти  ---<br>Объём памяти - 12 Гб<br>Тип памяти - GDDR6X<br>Шина памяти (разрядность) - 192 бит<br>Пропускная способность - 504 ГБ/c<br>Частота видеопамяти - 21000 МГц<br>---Количество поддерживаемых мониторов  ---<br>Количество поддерживаемых мониторов - 4<br>Максимальное разрешение - 7680x4320<br>Необходимость дополнительного питания - да<br>Разъём дополнительного питания - 16 pin<br>Рекомендуемая мощность блока питания - 700 Вт<br>TGP - 200<br>Подсветка - да<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - чёрный<br>Размеры (ШхВхГ) - 300 x 130 x 58 мм<br>Гарантия - 36 мес.<br>Сайт производителя - www.gigabyte.ru<br><br><br>",чёрный,98,Gigabyte,,10,36,Видеокарта_3-0.png<br>Видеокарта_3-1.png<br>Видеокарта_3-2.png<br>Видеокарта_3-3.png<br>Видеокарта_3-4.png<br>Видеокарта_3-5.png<br>Видеокарта_3-6.png<br>Видеокарта_3-7.png<br>,,74270,Видеокарта NVIDIA GeForce RTX 4070 Gigabyte 12Gb (GV-N4070GAMING OC-12GD),5
,"---Основные---<br>Производитель - MSI<br>Код производителя - RTX 4070 GAMING X SLIM 12G<br>Интерфейс - PCI Express 4.0<br>Производитель видеопроцессора - NVIDIA<br>Серия - GeForce RTX 4070<br>---Количество занимаемых слотов  ---<br>Количество занимаемых слотов - 2.5<br>Низкопрофильная карта (Low Profile) - нет<br>Система охлаждения - активная<br>Количество вентиляторов - 3<br>Разъёмы - HDMI, 3 x DisplayPort<br>---Архитектура графического процессора  ---<br>Архитектура графического процессора - nVidia Ada Lovelace<br>Кодовое название графического процессора - AD104<br>Техпроцесс - 5 нм<br>Частота графического процессора - 1920 МГц<br>Частота графического процессора (Boost) - 2625 МГц<br>Число универсальных процессоров - 5888<br>OC версия - да<br>Поддержка SLI/CrossFire - нет<br>Поддержка DirectX - DirectX 12 Ultimate<br>Поддержка OpenGL - OpenGL 4.6<br>---Объём памяти  ---<br>Объём памяти - 12 Гб<br>Тип памяти - GDDR6X<br>Шина памяти (разрядность) - 192 бит<br>Пропускная способность - 504 ГБ/c<br>Частота видеопамяти - 21000 МГц<br>---Количество поддерживаемых мониторов  ---<br>Количество поддерживаемых мониторов - 4<br>Максимальное разрешение - 7680x4320<br>Необходимость дополнительного питания - да<br>Разъём дополнительного питания - 16 pin<br>Рекомендуемая мощность блока питания - 650 Вт<br>TDP - 200 Вт<br>TGP - 215<br>Подсветка - да<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - серый, чёрный<br>Размеры (ШхВхГ) - 307 x 125 x 46 мм<br>Вес - 0.988 кг<br>Гарантия - 36 мес.<br>Сайт производителя - www.msi.com<br><br><br>","серый, чёрный",23,MSI,,0,36,Видеокарта_4-0.png<br>Видеокарта_4-1.png<br>Видеокарта_4-2.png<br>Видеокарта_4-3.png<br>Видеокарта_4-4.png<br>Видеокарта_4-5.png<br>Видеокарта_4-6.png<br>,,73500,Видеокарта NVIDIA GeForce RTX 4070 MSI 12Gb (RTX 4070 GAMING X SLIM 12G),5
,"---Основные---<br>Производитель - Gigabyte<br>Код производителя - GV-N406TEAGLE OC-8GD<br>Интерфейс - PCI Express 4.0<br>Производитель видеопроцессора - NVIDIA<br>Серия - GeForce RTX 4060 Ti<br>---Количество занимаемых слотов  ---<br>Количество занимаемых слотов - 2<br>Низкопрофильная карта (Low Profile) - нет<br>Система охлаждения - активная<br>Количество вентиляторов - 3<br>Разъёмы - 2 x HDMI, 2 x DisplayPort<br>---Архитектура графического процессора  ---<br>Архитектура графического процессора - nVidia Ada Lovelace<br>Кодовое название графического процессора - AD106<br>Техпроцесс - 5 нм<br>Частота графического процессора - 2310 МГц<br>Частота графического процессора (Boost) - 2550 МГц<br>Число универсальных процессоров - 4352<br>OC версия - да<br>Поддержка SLI/CrossFire - нет<br>Поддержка DirectX - DirectX 12 Ultimate<br>Поддержка OpenGL - OpenGL 4.6<br>---Объём памяти  ---<br>Объём памяти - 8 Гб<br>Тип памяти - GDDR6<br>Шина памяти (разрядность) - 128 бит<br>Пропускная способность - 288 ГБ/c<br>Частота видеопамяти - 18000 МГц<br>---Количество поддерживаемых мониторов  ---<br>Количество поддерживаемых мониторов - 4<br>Максимальное разрешение - 7680x4320<br>Необходимость дополнительного питания - да<br>Разъём дополнительного питания - 8 pin<br>Рекомендуемая мощность блока питания - 500 Вт<br>TGP - 160<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - серый<br>Размеры (ШхВхГ) - 272 x 41 x 115 мм<br>Гарантия - 36 мес.<br>Сайт производителя - www.gigabyte.ru<br><br><br>",серый,80,Gigabyte,,0,36,Видеокарта_5-0.png<br>Видеокарта_5-1.png<br>Видеокарта_5-2.png<br>Видеокарта_5-3.png<br>Видеокарта_5-4.png<br>Видеокарта_5-5.png<br>,,51610,Видеокарта NVIDIA GeForce RTX 4060 Ti Gigabyte 8Gb (GV-N406TEAGLE OC-8GD),5
,"---Основные---<br>Производитель - Gigabyte<br>Код производителя - B550 GAMING X V2<br>Socket - AM4<br>Чипсет - AMD B550<br>---Разъёмы на задней панели  ---<br>Разъёмы на задней панели - PS/2, 2 x USB 2.0, 3 x USB 3.2 Gen1, USB 3.2 Gen2, DVI, HDMI<br>---Слоты расширения  ---<br>Слоты расширения - PCI-E 4.0 x16, PCI-E 3.0 x16, 3 x PCI-E x1, 2 x PCI-E M.2<br>Тип слотов M.2 - - Socket 3, M key, 2242/2260/2280/22110;<br>---Память---<br>Тип памяти - ........................................................................................................................................................................................................<br>Количество слотов памяти - ........................................................................................................................................................................................................<br>---Интегрированное видео  ---<br>Интегрированное видео - да (при использовании процессора с видеоядром)<br>Звук - 8-канальный (7.1)<br>Аудио-контроллер - Realtek ALC887<br>---Сетевой интерфейс  ---<br>Сетевой интерфейс - Gigabit Ethernet (10/100/1000 Мбит/с)<br>Сетевой контроллер - Realtek RTL8118AS<br>---Контроллер SATA  ---<br>Контроллер SATA - 4 x SATA-III (6 Гб/с)<br>Поддержка RAID - 0, 1, 10<br>---Радиатор на подсистеме питания (мосфетах)  ---<br>Радиатор на подсистеме питания (мосфетах) - да<br>Разъёмы для подключения вентиляторов корпуса - 3 x 4-pin<br>Разъём питания ATX 12 В - 8-pin<br>Внутренние порты USB на плате - 2 x USB 2.0, USB 3.2 Gen1, USB 3.2 Gen1 Type-C<br>Коннекторы ARGB 5V на плате - 2 x 3-pin<br>Коннекторы RGB 12V на плате - 3 x 4-pin<br>Предустановленный процессор - нет<br>Форм-фактор - ATX<br>Тип поставки - Retail<br>Гарантия - 36 мес.<br>Сайт производителя - www.gigabyte.ru<br><br><br>",,62,Gigabyte,,0,36,Материнская плата_1-0.png<br>Материнская плата_1-1.png<br>Материнская плата_1-2.png<br>Материнская плата_1-3.png<br>,,12540,Материнская плата Gigabyte B550 GAMING X V2,1
,"---Основные---<br>Производитель - Gigabyte<br>Код производителя - B760M DS3H DDR4<br>Socket - LGA 1700<br>Чипсет - Intel B760<br>---Разъёмы на задней панели  ---<br>Разъёмы на задней панели - PS/2, 2 x USB 2.0, 3 x USB 3.2 Gen1, USB 3.2 Gen2 Type-C, VGA, HDMI, 2 x DisplayPort, RJ-45<br>---Слоты расширения  ---<br>Слоты расширения - PCI-E 4.0 x16, 2 x PCI-E x1, 2 x PCI-E M.2<br>Тип слотов M.2 - - Socket 3, M key, 2280 (PCIe 4.0 x4/x2);<br>---Память---<br>Тип памяти - ........................................................................................................................................................................................................<br>Количество слотов памяти - ........................................................................................................................................................................................................<br>---Интегрированное видео  ---<br>Интегрированное видео - да (при использовании процессора с видеоядром)<br>Звук - 8-канальный (7.1)<br>Аудио-контроллер - Realtek<br>---Сетевой интерфейс  ---<br>Сетевой интерфейс - 2.5 Gigabit Ethernet (100/1000/2500 Мбит/с)<br>Сетевой контроллер - Realtek<br>---Контроллер SATA  ---<br>Контроллер SATA - 4 x SATA-III (6 Гб/с)<br>Поддержка RAID - 0, 1, 5, 10<br>---Радиатор на подсистеме питания (мосфетах)  ---<br>Радиатор на подсистеме питания (мосфетах) - да<br>Разъёмы для подключения вентиляторов корпуса - 3 x 4-pin<br>Разъём питания ATX 12 В - 8-pin<br>Внутренние порты USB на плате - 2 x USB 2.0, USB 3.2 Gen1<br>Коннекторы ARGB 5V на плате - 3-pin<br>Коннекторы RGB 12V на плате - 4-pin<br>Предустановленный процессор - нет<br>Форм-фактор - mATX<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - серый, чёрный<br>Гарантия - 36 мес.<br>Сайт производителя - www.gigabyte.ru<br><br><br>","серый, чёрный",25,Gigabyte,,10,36,Материнская плата_2-0.png<br>Материнская плата_2-1.png<br>Материнская плата_2-2.png<br>Материнская плата_2-3.png<br>Материнская плата_2-4.png<br>,,12660,Материнская плата Gigabyte B760M DS3H DDR4,1
,"---Основные---<br>Производитель - ASUS<br>Код производителя - PRIME B660M-K D4<br>Socket - LGA 1700<br>Чипсет - Intel B660<br>---Разъёмы на задней панели  ---<br>Разъёмы на задней панели - PS/2, 2 x USB 2.0, 4 x USB 3.2 Gen1, VGA, HDMI, RJ-45<br>---Слоты расширения  ---<br>Слоты расширения - PCI-E 4.0 x16, 2 x PCI-E x1, 2 x PCI-E M.2<br>Тип слотов M.2 - - Key M, 2242/2260/2280 (PCIe 4.0 x4);<br>---Память---<br>Тип памяти - ........................................................................................................................................................................................................<br>Количество слотов памяти - ........................................................................................................................................................................................................<br>---Интегрированное видео  ---<br>Интегрированное видео - да (при использовании процессора с видеоядром)<br>Звук - 8-канальный (7.1)<br>Аудио-контроллер - Realtek ALC897<br>---Сетевой интерфейс  ---<br>Сетевой интерфейс - Gigabit Ethernet (10/100/1000 Мбит/с)<br>Сетевой контроллер - Realtek<br>---Контроллер SATA  ---<br>Контроллер SATA - 4 x SATA-III (6 Гб/с)<br>Поддержка RAID - 0, 1, 5, 10<br>---Разъёмы для подключения вентиляторов корпуса  ---<br>Разъёмы для подключения вентиляторов корпуса - 4-pin<br>Разъём питания ATX 12 В - 8-pin<br>Внутренние порты USB на плате - 2 x USB 2.0, USB 3.2 Gen1<br>Коннекторы RGB 12V на плате - 4-pin<br>Предустановленный процессор - нет<br>Форм-фактор - mATX<br>Тип поставки - Retail<br>Гарантия - 36 мес.<br>Сайт производителя - www.asus.com<br><br><br>",,91,ASUS,,0,36,Материнская плата_3-0.png<br>Материнская плата_3-1.png<br>Материнская плата_3-2.png<br>Материнская плата_3-3.png<br>Материнская плата_3-4.png<br>Материнская плата_3-5.png<br>,,9920,Материнская плата ASUS PRIME B660M-K D4,1
,"---Основные---<br>Производитель - MSI<br>Код производителя - PRO H610M-E DDR4<br>Socket - LGA 1700<br>Чипсет - Intel H610<br>---Сетевой интерфейс  ---<br>Сетевой интерфейс - Gigabit Ethernet (10/100/1000 Мбит/с)<br>Сетевой контроллер - Realtek RTL8111H<br>---Тип памяти  ---<br>Тип памяти - DDR4<br>Количество слотов памяти - 2<br>---Интегрированное видео  ---<br>Интегрированное видео - да (при использовании процессора с видеоядром)<br>Звук - 8-канальный (7.1)<br>Аудио-контроллер - Realtek ALC897<br>---Разъёмы на задней панели  ---<br>Разъёмы на задней панели - PS/2, 4 x USB 2.0, 2 x USB 3.2 Gen1, VGA, HDMI, RJ-45<br>---Контроллер SATA  ---<br>Контроллер SATA - 4 x SATA-III (6 Гб/с)<br>---Слоты расширения  ---<br>Слоты расширения - PCI-E 4.0 x16, PCI-E x1, PCI-E M.2<br>Тип слотов M.2 - Key M, 2242/2260/2280 (PCIe 3.0 x4)<br>---Разъёмы для подключения вентиляторов корпуса  ---<br>Разъёмы для подключения вентиляторов корпуса - 2 x 4-pin<br>Разъём питания ATX 12 В - 8-pin<br>Внутренние порты USB на плате - 2 x USB 2.0, USB 3.2 Gen1<br>Коннекторы RGB 12V на плате - 4-pin<br>Предустановленный процессор - нет<br>Форм-фактор - mATX<br>Тип поставки - Retail<br>Гарантия - 36 мес.<br>Сайт производителя - www.msi.com<br><br><br>",,60,MSI,,10,36,Материнская плата_4-0.png<br>Материнская плата_4-1.png<br>Материнская плата_4-2.png<br>Материнская плата_4-3.png<br>Материнская плата_4-4.png<br>,,7800,Материнская плата MSI PRO H610M-E DDR4,1
,"---Основные---<br>Производитель - ASUS<br>Код производителя - PRIME Z790-P<br>Socket - LGA 1700<br>Чипсет - Intel Z790<br>---Разъёмы на задней панели  ---<br>Разъёмы на задней панели - PS/2, 4 x USB 2.0, 2 x USB 3.2 Gen1, USB 3.2 Gen2, USB 3.2 Gen2x2 Type-C, HDMI, DisplayPort, RJ-45<br>---Контроллер SATA  ---<br>Контроллер SATA - 4 x SATA-III (6 Гб/с)<br>Поддержка RAID - 0, 1, 5, 10<br>---Интегрированное видео  ---<br>Интегрированное видео - да (при использовании процессора с видеоядром)<br>Звук - 8-канальный (7.1)<br>Аудио-контроллер - Realtek<br>---Слоты расширения  ---<br>Слоты расширения - PCI-E 5.0 x16, 3 x PCI-E 4.0 x16, PCI-E x1, 4 x PCI-E M.2<br>Тип слотов M.2 - - Key M, 2242/2260/2280/22110 (PCIe 4.0 x4);<br>---- Key M, 2242/2260/2280/22110 (PCIe 4.0 x4 & SATA);---<br>- Key E, для модуля Wi-Fi. - Поддерживаемые режимы PCI-Express<br>x16/x1/x1/x1 - Сеть<br>---Сетевой интерфейс  ---<br>Сетевой интерфейс - 2.5 Gigabit Ethernet (100/1000/2500 Мбит/с)<br>Сетевой контроллер - Realtek<br>---Тип памяти  ---<br>Тип памяти - DDR5<br>Количество слотов памяти - 4<br>---Радиатор на подсистеме питания (мосфетах)  ---<br>Радиатор на подсистеме питания (мосфетах) - да<br>Разъёмы для подключения вентиляторов корпуса - 3 x 4-pin<br>Разъём питания ATX 12 В - 4-pin, 8-pin<br>Внутренние порты USB на плате - 2 x USB 2.0, 2 x USB 3.2 Gen1, USB 3.2 Gen2 Type-C<br>Коннекторы ARGB 5V на плате - 3 x 3-pin<br>Коннекторы RGB 12V на плате - 2 x 4-pin<br>Предустановленный процессор - нет<br>Форм-фактор - ATX<br>Тип поставки - Retail<br>Цвета, использованные в оформлении - серебристый, чёрный<br>Гарантия - 36 мес.<br>Сайт производителя - www.asus.com<br><br><br>","серебристый, чёрный",36,ASUS,,10,36,Материнская плата_5-0.png<br>Материнская плата_5-1.png<br>Материнская плата_5-2.png<br>Материнская плата_5-3.png<br>Материнская плата_5-4.png<br>,,23960,Материнская плата ASUS PRIME Z790-P,1
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504555318/CM8071504650609<br>Линейка - Core i5<br>Модель - 12400F<br>Socket - LGA 1700<br>Архитектура - Golden Cove<br>Ядро - Alder Lake<br>Количество ядер - 6<br>Количество потоков - 12<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - нет<br>---Объём кэша L2  ---<br>Объём кэша L2 - 7.5 Мб<br>Объём кэша L3 - 18 Мб<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 117 Вт, максимальное<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Дата релиза - Q1 2022<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,96,Intel,,0,12,Процессор_1-0.png<br>,12400F,15000,Процессор Intel Core i5 - 12400F OEM,2
,"---Основные---<br>Производитель - AMD<br>Код производителя - 100-000000252<br>Линейка - Ryzen 5<br>Модель - 5600G<br>Socket - AM4<br>Архитектура - Zen 3<br>Ядро - Cezanne<br>Количество ядер - 6<br>Количество потоков - 12<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - да<br>Видеопроцессор - Radeon Vega 7<br>---Объём кэша L1  ---<br>Объём кэша L1 - 64 Кб<br>Объём кэша L2 - 3 Мб<br>Объём кэша L3 - 16 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 3900 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Коэффициент умножения - 39<br>Разблокированный множитель - да<br>---Технологический процесс  ---<br>Технологический процесс - 7 нм<br>Максимальная рабочая температура - 95 °C<br>Типичное тепловыделение - 65 Вт<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Advanced Vector Extensions, Advanced Vector Extensions 2, Simultaneous MultiThreading, Enhanced Virus Protection, Extended Frequency Range, Precision Boost, AMD64<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.amd.com<br><br><br>",,99,AMD,,15,12,Процессор_2-0.png<br>,5600G,12570,Процессор AMD Ryzen 5 5600G OEM,2
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504821107/CM8071505093005<br>Линейка - Core i5<br>Модель - 13400F<br>Socket - LGA 1700<br>Архитектура - Golden Cove / Gracemont<br>Ядро - Raptor Lake<br>Количество ядер - 10<br>Количество потоков - 16<br>Высокопроизводительные ядра - 6<br>Энергоэффективные ядра - 4<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - нет<br>---Объём кэша L2  ---<br>Объём кэша L2 - 9.5 Мб<br>Объём кэша L3 - 20 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4600 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 65 Вт<br>Максимальное тепловыделение - 148 Вт<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Дата релиза - Q1 2023<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,58,Intel,,5,12,Процессор_3-0.png<br>,13400F,20840,Процессор Intel Core i5 - 13400F OEM,2
,"---Основные---<br>Производитель - Intel<br>Код производителя - CM8071504555317/CM8071504650608<br>Линейка - Core i5<br>Модель - 12400<br>Socket - LGA 1700<br>Архитектура - Golden Cove<br>Ядро - Alder Lake<br>Количество ядер - 6<br>Количество потоков - 12<br>---Интегрированное графическое ядро  ---<br>Интегрированное графическое ядро - да<br>Видеопроцессор - Intel UHD Graphics 730<br>---Объём кэша L2  ---<br>Объём кэша L2 - 7.5 Мб<br>Объём кэша L3 - 18 Мб<br>---Тактовая частота  ---<br>Тактовая частота - 2500 МГц<br>Частота процессора в режиме Turbo - 4400 МГц<br>Частота шины - DMI 4.0 (16 ГТ/с)<br>Коэффициент умножения - 25<br>Разблокированный множитель - нет<br>---Технологический процесс  ---<br>Технологический процесс - 10 нм<br>Максимальная рабочая температура - 100 °C<br>Типичное тепловыделение - 117 Вт, максимальное<br>Технологии - MMX, SSE, SSE2, SSE3, SSE4, Thread Director, Extended Memory 64, Advanced Bit Manipulation, Advanced Vector Extensions, Advanced Vector Extensions 2, Gaussian & Neural Accelerator, Hyper-Threading, Execute Disable Bit/No eXecute Bit, Enhanced Virus Protection, Virtualization Technology , Turbo Boost<br>Кулер в комплекте - нет<br>Тип поставки - OEM<br>Гарантия - 12 мес.<br>Сайт производителя - www.intel.com<br><br><br>",,17,Intel,,5,12,Процессор_4-0.png<br>,12400,16630,Процессор Intel Core i5 - 12400 OEM,2
